			a_acc	b_acc	a_speed	b_speed	noise	scale	tauR	tauG	tauI	
1	143	57799843	62.472733	1.073689	49.95106	1.251531	0.999995	25.600474	0.136086	0.002201	0.001002	29308.27299
1	12	27972181	69.568339	0.985685	45.260491	1.280639	0.99921	25.600039	0.124398	0.005309	0.001012	29314.40054
1	53	84478668	70	0.931035	64.883186	1.041089	0.999799	25.617874	0.100421	0.001021	0.001	29315.27521
1	114	29871700	49.790547	1.259008	31.523378	1.453371	0.993555	25.600008	0.186623	0.001034	0.001521	29316.91402
1	114	69352556	44.972834	1.325016	39.676781	1.427293	0.999477	25.601835	0.206383	0.002717	0.001	29317.16147
1	158	49586822	64.850242	1.02245	55.327628	1.167104	0.999999	25.684888	0.120235	0.00102	0.001019	29320.7023
1	35	30269079	65.538324	1.018577	47.883028	1.243978	0.999825	25.670189	0.12109	0.001833	0.001368	29328.98691
1	7	27469134	54.059293	1.18039	43.698506	1.331784	0.999942	25.607283	0.156922	0.00117	0.00104	29337.68003
1	56	95738432	69.648437	0.940935	63.791265	1.06036	0.999995	25.703674	0.103393	0.001001	0.001435	29340.32195
1	154	123451569	64.283407	1.042729	54.741214	1.192147	1	25.600067	0.127671	0.001019	0.001	29342.21447
1	136	29178538	49.099654	1.249248	42.504461	1.359113	0.999924	25.6	0.172487	0.001267	0.001018	29344.8686
1	28	29580608	54.768215	1.191279	32.693014	1.422966	0.999794	25.605165	0.168905	0.001387	0.001	29350.21881
1	81	87759301	59.241943	1.098145	45.981445	1.278125	0.999963	25.65625	0.132933	0.001253	0.001	29358.18971
1	152	109742954	69.997412	0.921117	68.645299	0.99431	0.999888	25.615801	0.09556	0.001	0.001013	29359.45368
1	140	92908201	69.999743	0.978214	42.825496	1.293374	0.999963	25.6	0.124841	0.002717	0.001	29364.80744
1	75	96933620	70	0.961282	52.955772	1.197057	0.999997	25.671804	0.112811	0.001915	0.002115	29367.78532
1	4	63476492	59.665931	1.109716	44.866352	1.308355	0.999349	25.600027	0.14029	0.004532	0.001016	29389.85603
1	62	98946979	58.486075	1.122766	41.312621	1.340596	0.998477	25.600174	0.142168	0.004368	0.001006	29390.27191
1	118	66859095	52.709503	1.201873	41.560629	1.362388	0.999994	25.6	0.160729	0.002181	0.001355	29396.77422
1	23	65383954	61.081876	1.093551	40.714269	1.352022	0.999997	25.634814	0.134146	0.010524	0.001001	29399.98313
1	66	51527573	51.985323	1.210794	44.145548	1.340514	0.999769	25.600708	0.160951	0.003094	0.001	29401.16968
1	144	43028080	69.974243	0.927062	69.468669	0.988591	0.999934	25.609575	0.097255	0.003155	0.001	29405.23653
1	131	48881047	55.910395	1.170314	33.741416	1.408456	0.998268	25.6	0.159244	0.001394	0.001178	29420.20454
1	20	28773464	59.401776	1.120012	48.963876	1.280551	0.999988	25.611679	0.147697	0.002467	0.001	29432.80412
1	5	27268054	63.625791	1.0183	49.488223	1.219923	0.999906	25.632119	0.104418	0.010602	0.001067	29436.97497
1	48	82816518	47.961261	1.273436	29.650002	1.470086	0.999701	25.6	0.176543	0.006162	0.001	29441.94861
1	82	31051294	69.999999	0.921198	69.993553	0.977824	1	25.600014	0.093952	0.002485	0.001	29448.31633
1	97	22302596	58.497732	1.093075	54.583029	1.195091	0.999152	25.6	0.125111	0.003286	0.001	29452.29376
1	52	56120718	69.997559	0.91748	67.305908	0.997754	0.999963	25.65625	0.092556	0.001008	0.001	29452.51402
1	156	59559224	61.107376	1.097062	42.744751	1.317979	0.997401	25.6	0.140254	0.001536	0.002108	29460.19629
1	72	107835005	56.929427	1.149117	35.420293	1.398463	1	25.600029	0.14218	0.008388	0.001002	29470.58066
1	69	66033808	69.954027	0.935923	69.99777	0.985694	0.999988	25.717657	0.10021	0.001531	0.00101	29479.23699
1	82	47510234	69.463348	0.954736	54.06189	1.162793	0.940417	25.601562	0.106958	0.001046	0.001199	29485.0846
1	74	74717006	56.943054	1.142017	44.812775	1.306592	0.999991	25.601562	0.142432	0.005202	0.001272	29487.34319
1	9	27671888	52.676106	1.187894	48.575269	1.288445	0.999875	25.650478	0.155048	0.001	0.001	29493.51591
1	36	66676873	54.179112	1.202882	37.131339	1.402544	1	25.600066	0.168446	0.001191	0.002493	29496.29313
1	22	65276495	69.999786	0.910616	69.99274	0.966294	0.999996	25.639278	0.088952	0.00342	0.001012	29504.76494
1	153	65021500	69.941254	0.954272	57.626266	1.128955	0.999998	25.601562	0.105064	0.001	0.003256	29512.34688
1	85	82280446	62.549017	1.025382	46.368706	1.278126	0.997647	25.6	0.091027	0.042976	0.001093	29512.79044
1	155	40809211	69.962883	0.983423	39.24099	1.401709	0.999139	25.601562	0.120909	0.027138	0.002178	29517.08751
1	112	65114488	69.974503	0.908538	69.999147	0.964353	0.999998	25.651657	0.089464	0.001	0.001193	29521.90637
