			a_acc	b_acc	a_speed	b_speed	sgmInput	S	tauR	tauG	tauD	
1	54	37784124	13.282781	1.224045	36.915882	1.351737	7.212934	1074.74419	0.185184	0.025292	0.075166	18095.97073
1	152	92290822	14.859826	1.301782	34.282997	1.341203	5.487012	269.413713	0.199066	0.009388	0.008802	18096.43067
1	51	96397252	31.340043	1.086373	36.335891	1.456332	7.095383	1067.744537	0.137411	0.03677	0.117166	18096.47109
1	31	26845215	24.981788	1.171031	69.833176	0.880008	6.521144	388.935053	0.166963	0.046338	0.001052	18096.51427
1	147	93656598	59.162108	0.827565	51.467753	1.204377	7.024784	707.196648	0.140555	0.003952	0.077206	18096.78768
1	132	54235299	51.489874	0.891398	47.164154	1.178694	7.413464	1113.263497	0.273532	0.044552	0.028379	18097.05285
1	146	30142376	34.219028	1.131231	52.340184	1.171714	6.37045	533.582703	0.200547	0.011501	0.024098	18100.11315
1	92	98185839	30.512695	1.109473	45.668335	1.382812	7.049316	1149.59375	0.149928	0.002909	0.142862	18103.62545
1	136	82206261	27.290049	1.173391	40.344113	1.524263	6.695597	344.345519	0.034835	0.038869	0.178339	18103.77586
1	110	26430693	41.724671	0.799503	5.875009	1.501597	6.628606	2357.420245	0.34152	0.018896	0.079605	18104.6246
1	79	65289027	36.33011	0.881504	28.738093	1.309176	6.638538	388.981401	0.056518	0.027271	0.076264	18107.54481
1	11	24845858	23.801702	1.183701	26.292125	1.386098	6.571292	417.445927	0.163995	0.008673	0.029782	18112.21646
1	121	40001484	25.263403	1.067347	28.842081	1.332958	6.830544	391.073748	0.086122	0.026827	0.050684	18112.96457
1	10	24743589	6.314375	1.22377	37.529432	1.300192	6.218254	391.100755	0.118259	0.016829	0.039085	18115.03634
1	22	26522230	50.920995	0.808133	39.323895	1.32208	6.842351	265.126414	0.045508	0.038827	0.092298	18125.17085
1	20	26322242	32.313967	1.094693	33.226341	1.382681	7.481004	521.40745	0.135233	0.034631	0.045957	18125.36014
1	106	48076895	15.452537	1.335951	69.993646	1.074798	6.828863	1023.768025	0.116396	0.001917	0.202205	18128.52766
1	44	70844862	25.517309	1.18094	25.002515	1.450645	7.15322	742.059817	0.196799	0.050891	0.027073	18131.53573
1	37	27443837	26.118692	1.009931	27.27061	1.251215	6.43891	318.638159	0.085272	0.021992	0.031424	18137.51369
1	126	77177569	45.597634	1.052955	46.836551	1.658212	7.668182	346.422954	0.043804	0.018144	0.230304	18155.57331
1	5	24246741	6.865997	1.319116	63.470306	1.146753	8.80603	1123.78125	0.220755	0.015375	0.106597	18186.45203
1	14	25147330	21.647473	1.364484	60.684758	1.346309	8.594922	865.643128	0.13355	0.00841	0.189699	18196.47694
1	71	94261520	12.363281	1.246875	31.699219	1.609375	8.539062	1439	0.193101	0.003067	0.18427	18198.26543
1	59	20637520	29.165549	1.0007	14.058878	1.411132	7.209929	573.284118	0.117888	0.053029	0.025711	18227.9194
1	116	45398751	24.855734	0.834255	6.360612	1.217985	6.012524	205.249431	0.054494	0.045205	0.002332	18235.33051
