n	m	l	a	b	sgm	S	tr	tg	td	nll
4	38	110275340	25.811234	1.288983	16.077156	1005.984375	0.227075	0.062665	0.04194	7610.477779
4	19	108378382	40.000055	1.137775	12.095807	690.190552	0.196432	0.008409	0.04721	7638.746697
4	33	109774817	56.262165	0.88173	12.552468	661.632141	0.101134	0.197189	0.064839	7584.742074
4	39	110376121	31.054716	1.135843	19.023886	853.054199	0.08853	0.199368	0.032846	7569.714247
4	18	108278892	19.679832	1.260291	21.493835	967.853516	0.13516	0.135401	0.025001	7573.514052
4	22	108675695	17.861912	1.278324	21.745669	940.452087	0.111585	0.152439	0.022817	7568.527611
4	13	107775669	28.278394	1.134693	18.486423	675.514648	0.073179	0.180868	0.0213	7568.963607
4	25	108974463	22.550322	1.226696	21.312193	910.341705	0.117821	0.142254	0.028058	7575.221583
4	15	107976782	40.473905	0.995108	16.249306	1153.238159	0.1922	0.136818	0.023886	7577.227495
4	36	110075038	2.997608	1.437814	19.8452	635.722656	0.167821	0.002212	0.064281	7630.61671
4	4	106877864	43.036467	0.919536	20.943824	1566.891525	0.211745	0.037346	0.090934	7688.397522
4	20	108476525	51.415966	0.959829	14.719365	611.701172	0.110868	0.001758	0.093032	7647.305086
4	16	108079171	0.000001	1.506873	22.274107	1333.490242	0.235669	0.123285	0.01689	7562.881205
4	8	107275839	1.877711	1.492762	24.090061	1127.217377	0.177137	0.131965	0.018714	7565.39112
4	24	108875987	25.540867	1.195062	19.363546	777.407715	0.095696	0.156725	0.025892	7570.85944
4	40	110474826	12.186239	1.345683	25.401239	1205.63028	0.138909	0.150223	0.0322	7577.361827
4	12	107674383	4.557152	1.435358	22.358208	1029.746094	0.179781	0.118306	0.014559	7566.429524
4	28	109277110	12.837549	1.343293	23.217561	1137.403992	0.142103	0.137387	0.028129	7572.12898
4	58	72275758	5.338812	1.299626	27.196302	419.341309	0.001	0.058809	0.103549	7650.558545
4	32	109677441	51.508899	0.961015	15.016034	830.436646	0.132921	0.109976	0.073753	7597.545395
4	110	109062060	19.616961	0.968447	19.396791	268.69519	0.001	0.068716	0.10955	7652.029271
4	46	65422645	0.000004	1.598601	12.923041	803.650238	0.404142	0.002402	0.048731	7609.999944
4	86	58620455	34.140893	1.19238	14.430285	722.301941	0.175256	0.007685	0.06284	7642.004549
4	94	123452287	22.914711	0.966015	14.380772	261.499939	0.077193	0.006288	0.017505	7689.164481
4	50	140100476	0.000001	1.528229	20.609056	929.236504	0.200879	0.098992	0.01822	7570.600368
4	114	138924698	17.011185	1.385907	18.47908	882.896484	0.19973	0.018805	0.07128	7638.605809
4	44	71547731	11.303959	1.410812	22.599201	1219.580078	0.187098	0.071072	0.06287	7611.601499
4	52	120013772	30.501881	0.981633	13.203592	332.552246	0.088861	0.017052	0.022201	7694.777527
